 Alsandikai	 Amaranthus	 Amphophalus	 Ashgourd
 Balekai	 Banana - Green	 Beetroot	 Bhindi(Ladies Finger)
 Bitter gourd	 Bottle gourd	 Brinjal	 Cabbage
 Capsicum	 Carrot	 Cauliflower	 Chapparad Avare
 Chilly Capsicum	 Chow Chow	 Cluster beans	 Colacasia
 Coriander	 Cowpea(Veg)	 Cucumbar	 Cucumber (Long Melon)
 Drumstick	 Duster Beans	 Elephant Yam (Suran)	 Field Pea
 French Beans (Frasbean)	 Galgal(Lemon)	 Gram Raw(Chholia)	 Green Avare (W)
 Green Chilly	 Green ginger	 Groundnut pods (raw)	 Guar
 Indian Beans (Seam)	 Kartali (Kantola)	 Knool Khol	 Leafy Vegetable
 Lemon	 Little gourd (Kundru)	 Lotus Sticks	 Mango (Raw-Ripe)
 Mashrooms	 Methi	 Mint(Pudina)	 Onion
 Onion Green	 Other Vegetable	 Papaya (Raw)	 Peas cod
 Peas Wet	 Pegeon Pea (Arhar Fali)	 Pointed gourd (Parval)	 Potato
 Pumpkin	 Raddish	 Ridgeguard(Tori)	 Round gourd
 Season Leaves	 Seemebadnekai	 Snakeguard	 Spinach
 Sponge gourd	 Squash(Chappal Kadoo)	 Surat Beans (Papadi)	 Suvarna Gadde
 Sweet Potato	 Sweet Pumpkin	 Tapioca	 Thondekai
 Tinda	 Tomato	 White Pumpkin	 Yam (Ratalu)
